dataset,batch_size,seed_size,acq_name,clf,rep,trial_idx,iter_idx,train_size,score,init,ts
dbpedia5,500,500,cal,BERT,BERT,2,0,1000,0.985218464408818,init_random,2024-03-14 20:29:32.844372
dbpedia5,500,500,cal,BERT,BERT,2,1,1500,0.9872108447351546,init_random,2024-03-14 20:51:42.336717
dbpedia5,500,500,cal,BERT,BERT,2,2,2000,0.9872105573310626,init_random,2024-03-14 21:19:41.008005
dbpedia5,500,500,cal,BERT,BERT,2,3,2500,0.9886053576576022,init_random,2024-03-14 21:53:34.111344
dbpedia5,500,500,cal,BERT,BERT,2,4,3000,0.9878071631380696,init_random,2024-03-14 22:33:25.205759
dbpedia5,500,500,cal,BERT,BERT,2,5,3500,0.9892077247779134,init_random,2024-03-14 23:15:39.669594
dbpedia5,500,500,cal,BERT,BERT,2,6,4000,0.9878111041313234,init_random,2024-03-15 00:06:35.210269
dbpedia5,500,500,cal,BERT,BERT,2,7,4500,0.9884050627126036,init_random,2024-03-15 00:59:53.152169
dbpedia5,500,500,cal,BERT,BERT,2,8,5000,0.988605969291826,init_random,2024-03-15 01:50:22.240330
dbpedia5,500,500,dal,BERT,BERT,0,-1,500,0.9856091887226376,init_random,2024-03-09 11:00:44.205131
dbpedia5,500,500,dal,BERT,BERT,0,0,1000,0.9841882654796952,init_random,2024-03-09 11:18:58.940366
dbpedia5,500,500,dal,BERT,BERT,0,1,1500,0.9874038624086946,init_random,2024-03-09 11:42:35.886093
dbpedia5,500,500,dal,BERT,BERT,0,2,2000,0.9868185945782332,init_random,2024-03-09 12:10:49.671678
dbpedia5,500,500,dal,BERT,BERT,0,3,2500,0.9876044387346508,init_random,2024-03-09 12:42:34.626503
dbpedia5,500,500,dal,BERT,BERT,0,4,3000,0.9886044640097674,init_random,2024-03-09 13:17:37.826461
dbpedia5,500,500,dal,BERT,BERT,0,5,3500,0.9882058757825783,init_random,2024-03-09 13:56:43.492009
dbpedia5,500,500,dal,BERT,BERT,0,6,4000,0.9874076742485264,init_random,2024-03-09 14:40:49.700983
dbpedia5,500,500,dal,BERT,BERT,0,7,4500,0.9890082679064222,init_random,2024-03-09 15:28:26.241396
dbpedia5,500,500,dal,BERT,BERT,0,8,5000,0.9879954435034636,init_random,2024-03-09 16:46:44.588513
dbpedia5,500,500,dal,BERT,BERT,1,-1,500,0.9844122478249528,init_random,2024-03-14 01:02:13.570014
dbpedia5,500,500,dal,BERT,BERT,1,0,1000,0.9815541779019747,init_random,2024-03-14 01:23:30.815374
dbpedia5,500,500,dal,BERT,BERT,1,1,1500,0.9854112109468092,init_random,2024-03-14 01:50:58.363696
dbpedia5,500,500,dal,BERT,BERT,1,2,2000,0.9863994564533318,init_random,2024-03-14 02:18:04.868754
dbpedia5,500,500,dal,BERT,BERT,1,3,2500,0.9866117931954572,init_random,2024-03-14 02:49:03.619671
dbpedia5,500,500,dal,BERT,BERT,1,4,3000,0.9849890630563513,init_random,2024-03-14 03:23:26.137332
dbpedia5,500,500,dal,BERT,BERT,1,5,3500,0.9854067992786018,init_random,2024-03-14 04:02:14.235084
dbpedia5,500,500,dal,BERT,BERT,1,6,4000,0.9874145591453716,init_random,2024-03-14 04:44:28.626276
dbpedia5,500,500,dal,BERT,BERT,1,7,4500,0.9872049100360152,init_random,2024-03-14 05:31:01.799360
dbpedia5,500,500,dal,BERT,BERT,1,8,5000,0.9866077854980004,init_random,2024-03-14 06:20:59.297177
dbpedia5,500,500,dal,BERT,BERT,2,-1,500,0.98061062152619,init_random,2024-03-15 06:56:25.727921
dbpedia5,500,500,dal,BERT,BERT,2,0,1000,0.9844218793459044,init_random,2024-03-15 07:14:09.973597
dbpedia5,500,500,dal,BERT,BERT,2,1,1500,0.9829895202626512,init_random,2024-03-15 07:36:58.670110
dbpedia5,500,500,dal,BERT,BERT,2,2,2000,0.9874108877494556,init_random,2024-03-15 08:04:05.359658
dbpedia5,500,500,dal,BERT,BERT,2,3,2500,0.985798585987801,init_random,2024-03-15 08:34:44.504119
dbpedia5,500,500,dal,BERT,BERT,2,4,3000,0.9859960888379024,init_random,2024-03-15 09:09:53.720115
dbpedia5,500,500,dal,BERT,BERT,2,5,3500,0.9859931878710636,init_random,2024-03-15 09:49:00.684788
dbpedia5,500,500,dal,BERT,BERT,2,6,4000,0.9862081495983738,init_random,2024-03-15 10:32:29.647645
dbpedia5,500,500,dal,BERT,BERT,2,7,4500,0.9880001575956008,init_random,2024-03-15 11:20:48.188154
dbpedia5,500,500,dal,BERT,BERT,2,8,5000,0.985796948452866,init_random,2024-03-15 12:14:01.874411
dbpedia5,500,500,margin,BERT,BERT,0,-1,500,0.9856091887226376,init_random,2024-03-09 05:30:37.949053
dbpedia5,500,500,margin,BERT,BERT,0,0,1000,0.9825758771941528,init_random,2024-03-09 05:49:25.905678
dbpedia5,500,500,margin,BERT,BERT,0,1,1500,0.9875997435801348,init_random,2024-03-09 06:16:42.024596
dbpedia5,500,500,margin,BERT,BERT,0,2,2000,0.9884013180386424,init_random,2024-03-09 06:45:49.772322
dbpedia5,500,500,margin,BERT,BERT,0,3,2500,0.986016818935254,init_random,2024-03-09 07:15:50.636270
dbpedia5,500,500,margin,BERT,BERT,0,4,3000,0.988405137232844,init_random,2024-03-09 07:49:50.766382
dbpedia5,500,500,margin,BERT,BERT,0,5,3500,0.986399559105958,init_random,2024-03-09 08:28:12.711234
